dimension,bucket,horizon,observations,unique_issuers,support_status,support_min_observations,support_min_issuers,uncertainty_contract,mean_return,median_return,positive_return_rate,mean_excess_return,median_excess_return,outperform_0050_rate,standard_deviation,p25_return,p75_return,issuer_cluster_mean_return_se,issuer_cluster_mean_return_ci95_low,issuer_cluster_mean_return_ci95_high,time_cluster_mean_return_se,time_cluster_mean_return_ci95_low,time_cluster_mean_return_ci95_high,issuer_cluster_mean_excess_se,issuer_cluster_mean_excess_ci95_low,issuer_cluster_mean_excess_ci95_high,time_cluster_mean_excess_se,time_cluster_mean_excess_ci95_low,time_cluster_mean_excess_ci95_high,issuer_cluster_median_return_ci95_low,issuer_cluster_median_return_ci95_high,time_cluster_median_return_ci95_low,time_cluster_median_return_ci95_high,issuer_cluster_median_excess_ci95_low,issuer_cluster_median_excess_ci95_high,time_cluster_median_excess_ci95_low,time_cluster_median_excess_ci95_high,median_return_lift_vs_all,median_excess_return_lift_vs_all,outperform_rate_lift_vs_all
STATE_VALIDATION_LABEL,CORRECT,60d,66,29,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.12496000658120021,0.03620578620918058,0.6212121212121212,0.06583821989719876,0.027666002093087005,0.5757575757575758,0.2924162181448602,-0.03463932932512717,0.14428785235413566,0.04451082133341578,0.03771879676770529,0.21220121639469514,0.051315733803075955,0.02438116832717134,0.22553884483522907,0.039588171747764446,-0.011754596728419553,0.14343103652281708,0.03767436951205567,-0.008003544346430344,0.13967998414082788,0.00688184140981396,0.07517081473721787,-0.016393417767613383,0.08601203871482044,-0.008762982041154999,0.07762271349941537,-0.02086150994291982,0.08603538949714828,-0.015926964424663903,0.023573336837560577,0.06414510064145107
STATE_VALIDATION_LABEL,CORRECT,120d,66,29,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.2167292558141309,0.0869993985018157,0.7272727272727273,0.10503824408276241,0.04269596669600845,0.6363636363636364,0.35732346510356583,-0.005088200291649442,0.34456198433465185,0.05242645651083296,0.11397340105289831,0.3194851105753635,0.061011643830202175,0.09714643390693466,0.33631207772132715,0.048469917383592555,0.010037206010921007,0.20003928215460381,0.046454342768044714,0.013987732257394775,0.19608875590813005,0.03335922772510691,0.2581612630162508,0.025920817905322524,0.26132639569420596,0.0019242858060362293,0.16212382650743606,3.447640318354761e-05,0.16874512215563714,0.00895525767389993,0.042905630884966406,0.1384156199477677
STATE_VALIDATION_LABEL,CORRECT,252d,65,29,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.6166406480008989,0.4098375816034998,0.8307692307692308,0.3259902081941163,0.14061970073866603,0.7384615384615385,0.7310303889327521,0.10327061567548368,1.02476187515078,0.10173072008758931,0.41724843662922384,0.816032859372574,0.1222314798586832,0.37706694747787983,0.856214348523918,0.09480224110715077,0.14017781562410078,0.5118026007641318,0.08470981783989363,0.15995896522792477,0.4920214511603078,0.18737348292703085,0.7458448664819111,0.18737348292703085,0.7456639169125696,0.06164427986583729,0.4502049346052557,0.06376534217791463,0.43672620698312437,0.2270222971872844,0.12734241207607466,0.22304935208161014
STATE_VALIDATION_LABEL,CORRECT,504d,46,23,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,1.3800045192966537,0.8440210189066767,0.9130434782608695,0.9158431634500527,0.22201390315752273,0.717391304347826,2.4501774961392804,0.1786441685295368,1.296261192887945,0.4287274758942992,0.5396986665438273,2.22031037204948,0.3963650915813853,0.6031289397971386,2.1568800987961687,0.38385079054581367,0.16349561398025791,1.6681907129198474,0.3181990123244851,0.2921730992940619,1.5395132276060435,0.26127185966293,1.0793469632390882,0.2925323833521192,0.9983544431427795,0.02197830034270421,0.644898884235791,0.05965475593961855,0.33899423233477877,0.41016802146035847,0.13405437015129157,0.1610187553282182
STATE_VALIDATION_LABEL,TOO_EARLY,60d,14,12,INSUFFICIENT_SUPPORT,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.07533836574209053,0.05548272332227466,0.5714285714285714,-0.015369834180248152,-0.017137520971539033,0.42857142857142855,0.144624381540878,-0.028517963989118628,0.1675348592398831,0.03936211005559954,-0.0018113699668845656,0.15248810145106562,0.03802393672085291,0.0008114497692188194,0.14986528171496225,0.03239736927623754,-0.07886867796167372,0.04812900960117743,0.030423496027588804,-0.0749998863943222,0.044260218033825904,-0.03660575366876939,0.17208666268790007,-0.03660575366876939,0.17208666268790007,-0.11088353085568725,0.08127739668541256,-0.09680317245638514,0.08127739668541256,0.0033499726884301806,-0.021230186227065462,-0.08304104654469618
STATE_VALIDATION_LABEL,TOO_EARLY,120d,14,12,INSUFFICIENT_SUPPORT,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.21685109272542502,0.2055156454016679,0.7142857142857143,0.023495097263130243,0.04906708669853943,0.5714285714285714,0.2969843023817783,0.011664556150082356,0.42704049683661477,0.087071523938532,0.046190905805902294,0.38751127964494775,0.0902997512197089,0.03986358033479559,0.39383860511605445,0.0520461338676146,-0.07851532511739437,0.12550551964365486,0.05079430682191073,-0.07606174410781479,0.12305193863407528,0.026457842440068623,0.4414562234924577,-0.04101278500280636,0.4427210615388074,-0.12759355124386085,0.12447370072717406,-0.12759355124386085,0.12514404038378749,0.12747150457375211,0.04927675088749739,0.07348055501270273
STATE_VALIDATION_LABEL,TOO_EARLY,252d,12,10,INSUFFICIENT_SUPPORT,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.8780976991215699,0.3077764173471792,0.6666666666666666,0.49976795381511446,0.10875602649254645,0.6666666666666666,1.5949402409200746,-0.049086271145856536,0.6633352349921717,0.4607945514231365,-0.025059621667777643,1.7812550199109174,0.6070955995575439,-0.3118096760112161,2.068005074254356,0.3386209999238064,-0.16392920603554612,1.163465113665775,0.43731120292834474,-0.35736200392444123,1.3568979115546702,-0.05676013588221818,0.6913028619258539,-0.05164422605797708,0.6913028619258539,-0.30624261488577625,0.5415731793558918,-0.3068456053344295,0.5963375766579196,0.12496113293096378,0.09547873782995508,0.15125448028673827
STATE_VALIDATION_LABEL,TOO_EARLY,504d,9,9,INSUFFICIENT_SUPPORT,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.7441019492598677,0.28241637372492057,0.6666666666666666,0.4065319426103993,0.12282452834208546,0.6666666666666666,1.277133189689846,-0.07591346519204112,0.6189381176305737,0.42571106322994867,-0.09029173467083162,1.578495633190567,0.42571106322994867,-0.09029173467083162,1.578495633190567,0.42296730420083284,-0.42248397362323303,1.2355478588440316,0.42296730420083284,-0.42248397362323303,1.2355478588440316,-0.08483622821496992,2.5649257011398188,-0.25436872565062085,2.5649257011398188,-0.7332964945894297,0.6832596482959518,-0.7332964945894297,1.6926173282014012,-0.15143662372139766,0.0348649953358543,0.11029411764705876
STATE_VALIDATION_LABEL,TOO_LATE,60d,141,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.1663835436941196,0.0983333462242093,0.723404255319149,0.07880769330906967,0.04545537368536623,0.6382978723404256,0.27111227302874263,-0.00722403680030459,0.2986769465244159,0.02765506332490105,0.11217961957731354,0.22058746781092564,0.04331730035157327,0.08148163500503598,0.2512854523832032,0.02294364633774818,0.033838146487083234,0.12377724013105611,0.024684925483520633,0.030425239361369233,0.1271901472567701,0.06956811589340785,0.1873784608242997,0.042597416038686,0.18874158046416634,0.01689926603973646,0.07272348380342046,0.01694021141693658,0.07016814495403846,0.046200595590364824,0.0413627084298398,0.12668539722430083
STATE_VALIDATION_LABEL,TOO_LATE,120d,140,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.3241444553637843,0.1826258548017431,0.7285714285714285,0.15785461702261921,0.06039978757367348,0.6071428571428571,0.4876471081775032,-0.010449852489026579,0.5587315272496236,0.05706166202424117,0.2123035977962716,0.43598531293129694,0.07687359984165239,0.1734721996741456,0.47481671105342294,0.046239268467352344,0.06722565082660863,0.2484835832186298,0.04800872042319866,0.06375752499314984,0.2519517090520886,0.1069140133690085,0.24018979860211634,0.08202361048539704,0.32560197453401735,0.012199741822030014,0.13746186600261034,0.019549559087342062,0.11033930927739521,0.10458171397382732,0.06060945176263144,0.10919484072698843
