regime,dimension,bucket,horizon,observations,unique_issuers,support_status,support_min_observations,support_min_issuers,uncertainty_contract,mean_return,median_return,positive_return_rate,mean_excess_return,median_excess_return,outperform_0050_rate,standard_deviation,p25_return,p75_return,issuer_cluster_mean_return_se,issuer_cluster_mean_return_ci95_low,issuer_cluster_mean_return_ci95_high,time_cluster_mean_return_se,time_cluster_mean_return_ci95_low,time_cluster_mean_return_ci95_high,issuer_cluster_mean_excess_se,issuer_cluster_mean_excess_ci95_low,issuer_cluster_mean_excess_ci95_high,time_cluster_mean_excess_se,time_cluster_mean_excess_ci95_low,time_cluster_mean_excess_ci95_high,issuer_cluster_median_return_ci95_low,issuer_cluster_median_return_ci95_high,time_cluster_median_return_ci95_low,time_cluster_median_return_ci95_high,issuer_cluster_median_excess_ci95_low,issuer_cluster_median_excess_ci95_high,time_cluster_median_excess_ci95_low,time_cluster_median_excess_ci95_high,median_return_lift_vs_all,median_excess_return_lift_vs_all,outperform_rate_lift_vs_all
PRE_2023,ALL,ALL,60d,983,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.0713421806591672,0.040100214660816924,0.6236012207527976,0.024047007692512227,0.00667755198635267,0.5167853509664293,0.21110831046680456,-0.03792112837214112,0.14095892101139285,0.008421049160636811,0.05483692430431905,0.08784743701401534,0.01898070871950798,0.034139991568931556,0.10854436974940285,0.007977523715842863,0.008411061209460217,0.039682954175564236,0.009919107593735346,0.004605556808790951,0.0434884585762335,0.02749747001052947,0.04932204738280732,0.014203445818109168,0.0619442801317601,-0.004043909705686296,0.016398562075057323,-0.013540664550236335,0.024458455867692495,0.0,0.0,0.0
PRE_2023,ALL,ALL,120d,983,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.13061672957492915,0.059229680861113465,0.6510681586978637,0.05535461137601581,0.004013022514452347,0.5066124109867752,0.3321998511727769,-0.048106242972104196,0.21930517299049368,0.017669394620068363,0.09598471611959516,0.16524874303026313,0.02521421191539582,0.08119687422075333,0.18003658492910496,0.017373552533644827,0.02130244841007195,0.08940677434195966,0.011424910207900698,0.032961787368530435,0.07774743538350118,0.043226632473748916,0.07982579384682587,0.03635466017977762,0.09741450881849001,-0.008481950783276392,0.022802646159486475,-0.012015291074847001,0.021923439987155513,0.0,0.0,0.0
PRE_2023,ALL,ALL,252d,983,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.35259925125003966,0.14583607167704993,0.6998982706002035,0.1986430604415031,0.02508767079484997,0.5361139369277721,0.8017606571819612,-0.030408068291686075,0.43241181002899653,0.05145348263756064,0.2517504252804208,0.4534480772196585,0.05459631089107664,0.24559048190352945,0.45960802059654987,0.05071691349405504,0.09923790999315521,0.298048210889851,0.0239930980043868,0.15161658835290498,0.2456695325301012,0.10266511093777585,0.20286556794126143,0.09742693466291115,0.2112528751355501,-0.010267682719272262,0.0654045401370788,-0.008327272157703014,0.05761513791556783,0.0,0.0,0.0
PRE_2023,ALL,ALL,504d,983,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.8197049316796814,0.37684014995796034,0.8138351983723296,0.45132911300446094,0.08890090232689762,0.5686673448626653,1.47063294229533,0.07241103604163124,0.9807469716825751,0.12253381598724439,0.5795386523446824,1.0598712110146804,0.0861426622277268,0.6508653137133369,0.9885445496460259,0.12150574430005279,0.21317785417635748,0.6894803718325644,0.04035941429535085,0.3722246609855733,0.5304335650233486,0.24774149823130076,0.506594077523515,0.2827422778049507,0.4613730372147212,0.0005430996163677104,0.20288624144237644,0.03315310948913243,0.1306992918797371,0.0,0.0,0.0
PRE_2023,FUNDAMENTAL_STATE,IMPROVING,60d,199,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10840750730805045,0.046403618538621405,0.6231155778894473,0.05272725479184014,0.01694021141693658,0.5527638190954773,0.28248904017460763,-0.028213843553649087,0.1714285883684583,0.021813661754253994,0.06565273026971262,0.1511622843463883,0.03799984717535876,0.03392780684434728,0.1828872077717536,0.01905631146751431,0.015376884315512096,0.09007762526816819,0.018163470283149435,0.01712685303686725,0.08832765654681304,0.026962172443574125,0.06896557178949214,-5.9715818861390384e-05,0.09206345083360534,-0.005567723095246703,0.03572868644618737,-0.00888307240123387,0.054332017572537694,0.006303403877804481,0.01026265943058391,0.035978468129048036
PRE_2023,FUNDAMENTAL_STATE,IMPROVING,120d,199,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.16965680745665265,0.07428703962663064,0.6582914572864321,0.07520074564030677,0.026214236655780265,0.5527638190954773,0.3523581244488766,-0.040437167548662056,0.2640058119311818,0.030053796840935933,0.11075136564841823,0.22856224926488708,0.043712795497958985,0.08397972828065305,0.2553338866326523,0.02520257211315885,0.025803704298515417,0.12459778698209811,0.01612728755265224,0.04359126203710838,0.10681022924350515,0.04535145705429633,0.15149751176772314,0.025920817905322524,0.17756894206833806,-0.018800304569575432,0.04457648715931622,-0.012015291074847001,0.04638276777149024,0.01505735876551717,0.02220121414132792,0.04615140810870211
PRE_2023,FUNDAMENTAL_STATE,IMPROVING,252d,199,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.40506792065295766,0.22252805664661413,0.7135678391959799,0.2268771399732561,0.07060965379778072,0.6231155778894473,0.6212037811883299,-0.02368589184608899,0.6413513509837444,0.06315379754768675,0.28128647745949165,0.5288493638464237,0.07979571675346107,0.24866831581617396,0.5614675254897413,0.05872954220768719,0.1117672372461892,0.341987042700323,0.04291711097339356,0.1427596024654047,0.3109946774811075,0.14139373542393163,0.3080169547158276,0.07115173821749221,0.34398631409381797,0.0326905294618276,0.1466040870310755,0.05370828046454079,0.10630717957922453,0.0766919849695642,0.045521983002930755,0.08700164096167518
PRE_2023,FUNDAMENTAL_STATE,IMPROVING,504d,199,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.9603814099259855,0.5313610241319904,0.8542713567839196,0.5320865851722877,0.1763196261284078,0.6381909547738693,1.4781377283068453,0.11152473450802014,1.3275645773131992,0.15119820957659053,0.664032919155868,1.256729900696103,0.16133599520349634,0.6441628593271327,1.2765999605248384,0.14587953209678856,0.24616270226258213,0.8180104680819933,0.09577407333571392,0.3443694014342884,0.719803768910287,0.2996185464990725,0.8768053878567597,0.2977279837992215,0.813623879607695,0.05925142400166794,0.2935822052592247,0.12476091623886365,0.2330830017881314,0.15452087417403004,0.08741872380151017,0.06952360991120399
PRE_2023,FUNDAMENTAL_STATE,STABLE,60d,180,35,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.05053398054860975,0.04422714263996952,0.5888888888888889,0.0274778766584944,0.024872653765661834,0.5888888888888889,0.1826043002357948,-0.07100939484114441,0.12870286044788992,0.019629420392457613,0.012060316579392827,0.08900764451782667,0.031387194029301436,-0.01098491974882107,0.11205288084604056,0.014126990913434436,-0.0002110255318370953,0.0551667788488259,0.018593217452126356,-0.008964829547673258,0.06392058286466205,0.012396677312578912,0.0702902530137951,-0.019484868650073414,0.08372095242350963,-0.0011628114102899545,0.04731963864489088,-0.005787734278860368,0.057944464813150194,0.004126927979152595,0.018195101779309164,0.0721035379224596
PRE_2023,FUNDAMENTAL_STATE,STABLE,120d,180,35,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10798717472143295,0.06672589726915712,0.6444444444444445,0.07094275998606496,0.04837629910614394,0.6,0.3033051853972948,-0.07777336240223254,0.23491912246780572,0.03172820100755183,0.04579990074663136,0.17017444869623455,0.051907306282924566,0.006248854406900803,0.2097254950359651,0.02497944303400147,0.02198305163942208,0.11990246833270785,0.023146073288587865,0.025576456340432742,0.11630906363169718,0.032517998918786484,0.11120516109258816,0.006519339535381308,0.16516794554290437,0.0069124761897116915,0.08907348398602777,0.0069124761897116915,0.08655569091341775,0.007496216408043654,0.04436327659169159,0.09338758901322475
PRE_2023,FUNDAMENTAL_STATE,STABLE,252d,180,35,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.33684660833603786,0.16257251139141737,0.7166666666666667,0.2185332739745087,0.05450951234087298,0.6,0.6026041134946484,-0.018110505602985133,0.4670212755762983,0.0744840202037928,0.19085792873660398,0.4828352879354717,0.08206946151914452,0.1759904637585146,0.49770275291356114,0.07047410368546304,0.08040403075100114,0.3566625171980162,0.048536062391237166,0.12340259168768386,0.31366395626133353,0.04310436761549774,0.27265493855054607,0.042380215834848745,0.28684704078786016,-0.0182514450536968,0.1370004253534418,0.019271786067318164,0.10551269513252015,0.016736439714367446,0.02942184154602301,0.06388606307222788
PRE_2023,FUNDAMENTAL_STATE,STABLE,504d,180,35,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.9220388771968128,0.5470769323891035,0.8666666666666667,0.49743991342448757,0.16530662309006044,0.6111111111111112,1.1667420967028925,0.16622596638573195,1.2983693654775377,0.18572325497577064,0.5580212974443024,1.2860564569493231,0.07630975025257897,0.772471766701758,1.0716059876918675,0.19819187570477975,0.10898383704311926,0.8858959898058558,0.08260117022682027,0.3355416197799198,0.6593382070690553,0.30410607186244437,0.7667509768565075,0.4133345033050967,0.6380687041250839,-0.014544380907761667,0.38506785954199774,0.1005069766667161,0.28022792242820843,0.17023678243114315,0.07640572076316282,0.04244376624844581
PRE_2023,FUNDAMENTAL_STATE,DETERIORATING,60d,75,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.06596989253111857,0.04285715896196973,0.6666666666666666,-0.02155485816572729,-0.02384895570403478,0.4266666666666667,0.1595531731653404,-0.02683065362716952,0.11910065693192251,0.02170178119865704,0.02343440138175077,0.10850538368048637,0.015685269762705376,0.03522676379621603,0.0967130212660211,0.02530661746714732,-0.07115582840133604,0.02804611206988146,0.026818732770632403,-0.0741195743961668,0.031009858064712223,0.01492519593942343,0.06349204928916863,0.018771724489136443,0.05807352746530925,-0.09435563312231053,0.01718007552641576,-0.09428541554751924,0.012412869443607434,0.0027569443011528083,-0.03052650769038745,-0.09011868429976261
PRE_2023,FUNDAMENTAL_STATE,DETERIORATING,120d,75,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.13145771631372286,0.062499842704060615,0.68,0.0017882830496209195,-0.06601149899151793,0.36,0.33574477983473583,-0.02848331547753641,0.2037412812646069,0.04595742388840702,0.041381165492445096,0.22153426713500063,0.03006774654310702,0.07252493308923309,0.19039049953821263,0.04545741139225832,-0.08730824327920539,0.09088480937844723,0.03561504315607616,-0.06801720153628835,0.07159376763553019,0.03271027177959107,0.13035710964093727,0.03821650874536919,0.13632440777639018,-0.09622968776950902,0.0178173019913324,-0.10482816027052944,-0.0015912299908064393,0.00327016184294715,-0.07002452150597027,-0.14661241098677524
PRE_2023,FUNDAMENTAL_STATE,DETERIORATING,252d,75,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.4182245549793471,0.11505789951278267,0.6933333333333334,0.1509534639402773,-0.12110698391746677,0.32,1.3105239852470745,-0.04887907812766307,0.39919316824203377,0.16493365660823212,0.09495458802721213,0.741494521931482,0.16059536491249438,0.10345763975085809,0.7329914702078361,0.15646408763594344,-0.15571614782617182,0.45762307570672645,0.12627942556262067,-0.09655421016245921,0.39846113804301386,0.01667174794598636,0.2992210314685537,0.020866815521503712,0.27836772190164527,-0.21229895880153038,-0.008858770605931876,-0.21920238489529154,-0.06403878150113562,-0.03077817216426726,-0.14619465471231674,-0.2161139369277721
PRE_2023,FUNDAMENTAL_STATE,DETERIORATING,504d,75,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.9421934617087959,0.3747230548121041,0.7866666666666666,0.3526593738486654,-0.1243639869799279,0.41333333333333333,2.084761943261718,0.047555467665767015,0.8917664200587926,0.2892372378515561,0.375288475519746,1.5090984478978458,0.22081211757626473,0.509401711259317,1.3749852121582748,0.2901638265751182,-0.21606172623856623,0.9213804739358971,0.23483652721981763,-0.10762021950217715,0.812938967199508,0.11830453007163588,0.6044521615498404,0.1479904249680165,0.46289370017892395,-0.4051878756567928,0.08533954440115292,-0.42372948867070176,0.045217174348548994,-0.0021170951458562293,-0.21326488930682552,-0.15533401152933202
