state,tp,fp,fn,tn,precision,recall,false_positive_rate,false_negative_rate,support,predicted_count,median_lead_lag_quarters,mean_lead_lag_quarters,transition_confirmation_rate,persistence_rate
IMPROVING,199,95,384,316,0.6768707482993197,0.34133790737564323,0.23114355231143552,0.6586620926243568,583,294,1.0,1.4170854271356783,0.8944723618090452,0.8177083333333334
STABLE,58,213,140,583,0.2140221402214022,0.29292929292929293,0.2675879396984925,0.7070707070707071,198,271,0.0,0.0,1.0,0.4444444444444444
DETERIORATING,54,98,159,683,0.35526315789473684,0.2535211267605634,0.12548015364916773,0.7464788732394366,213,152,1.0,1.5740740740740742,0.8703703703703703,0.6481481481481481
