dimension,bucket,horizon,observations,unique_issuers,support_status,support_min_observations,support_min_issuers,uncertainty_contract,mean_return,median_return,positive_return_rate,mean_excess_return,median_excess_return,outperform_0050_rate,standard_deviation,p25_return,p75_return,issuer_cluster_mean_return_se,issuer_cluster_mean_return_ci95_low,issuer_cluster_mean_return_ci95_high,time_cluster_mean_return_se,time_cluster_mean_return_ci95_low,time_cluster_mean_return_ci95_high,issuer_cluster_mean_excess_se,issuer_cluster_mean_excess_ci95_low,issuer_cluster_mean_excess_ci95_high,time_cluster_mean_excess_se,time_cluster_mean_excess_ci95_low,time_cluster_mean_excess_ci95_high,issuer_cluster_median_return_ci95_low,issuer_cluster_median_return_ci95_high,time_cluster_median_return_ci95_low,time_cluster_median_return_ci95_high,issuer_cluster_median_excess_ci95_low,issuer_cluster_median_excess_ci95_high,time_cluster_median_excess_ci95_low,time_cluster_median_excess_ci95_high,median_return_lift_vs_all,median_excess_return_lift_vs_all,outperform_rate_lift_vs_all
FUNDAMENTAL_STATE,IMPROVING,60d,344,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.12307569143760679,0.06687182996080754,0.6511627906976745,0.046898580871734,0.023098686055670115,0.563953488372093,0.2745892008714033,-0.0310906654162125,0.21242245458134323,0.01828927925614066,0.0872287040955711,0.15892267877964247,0.029303217533218844,0.06564138507249785,0.1805099978027157,0.015869772464068066,0.01579382684216059,0.07800333490130741,0.016750713679468014,0.014067182059976695,0.0797299796834913,0.04241442628366876,0.08614820909755538,0.027374950570600017,0.0983333462242093,-0.0003756619407857542,0.04222083239483802,0.00034413539771128174,0.045224447907780255,0.014739079326963056,0.019006020800143686,0.052341013255968294
FUNDAMENTAL_STATE,IMPROVING,120d,333,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.24708517089686807,0.12267516261794498,0.6876876876876877,0.10571032325923527,0.0301262141248424,0.5585585585585585,0.44742041810752425,-0.025751034919950566,0.3663788090650635,0.03637608625942291,0.1757880418283992,0.31838229996533696,0.05463041938199077,0.14000954890816616,0.35416079288557,0.030622542258604838,0.04569014043236978,0.16573050608610074,0.02868627035246741,0.04948523336839915,0.16193541315007137,0.07336694105828112,0.1744185725435472,0.05128995178877921,0.18841279448834705,-0.00977849921232362,0.059186874408042656,-0.011049743007340145,0.0665368255222536,0.0446310217900292,0.030335878313800357,0.06061054214268985
FUNDAMENTAL_STATE,IMPROVING,252d,312,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.6224878728869047,0.27263628601427925,0.7564102564102564,0.30862682996127344,0.06978840362708699,0.5993589743589743,1.0287481086912904,0.0051542761069344745,0.8909916160148099,0.08232747095520483,0.4611260298147032,0.7838497159591061,0.13992375089985745,0.34823732112318406,0.8967384246506253,0.07350817316929173,0.16455081054946166,0.45270284937308525,0.07286922688993412,0.16580314525700257,0.4514505146655443,0.1845446928894443,0.40304784547973455,0.1563402362356738,0.43368478919810394,0.020268218390735948,0.15110193453873041,0.0435858163846321,0.12345407352401572,0.08982100159806383,0.05651111496449562,0.08394678797904598
FUNDAMENTAL_STATE,IMPROVING,504d,234,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,1.2434340549595975,0.6381473702998496,0.8760683760683761,0.7115292901717433,0.19859035314423423,0.6324786324786325,2.0549199456381975,0.1558223085958802,1.4172533687078845,0.17155049026627098,0.9071950940377064,1.5796730158814887,0.2535465450947523,0.746482826573883,1.740385283345312,0.16730490744784235,0.38361167157397225,1.0394469087695142,0.17890626761075853,0.3608730056546565,1.06218557468883,0.39728497469605667,0.900684200212452,0.36983366505222204,0.9054635141156202,0.06362671426690358,0.3301470717992444,0.12890475954170588,0.27462028273442884,0.20429437285353136,0.11063082013800307,0.07610608345902459
FUNDAMENTAL_STATE,STABLE,60d,330,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.1046985502007662,0.0633274071793426,0.6636363636363637,0.03692390413641515,0.014689768283254412,0.5333333333333333,0.24042180375294758,-0.035210207442082725,0.18661391499628566,0.019368073552275843,0.06673712603830555,0.14265997436322686,0.02866164504036377,0.04852172592165321,0.16087537447987918,0.01753474710355783,0.0025557998134418045,0.07129200845938849,0.01962215344363313,-0.001535516613105782,0.07538332488593608,0.03846147940252509,0.0836956774463038,0.02409634536822991,0.08767138262367036,-0.024835346029398554,0.03772134252904929,-0.012747092011884176,0.041042233908424514,0.011194656545498116,0.010597103027727983,0.021720858217208594
FUNDAMENTAL_STATE,STABLE,120d,312,36,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.19957865267700128,0.09307642594721266,0.6923076923076923,0.07756453146127491,0.018495860885053506,0.5224358974358975,0.43519016698683505,-0.039216444320640365,0.31481837436176396,0.035402867461008014,0.13018903245342556,0.268968272900577,0.04679205384920583,0.10786622713255786,0.29129107822144473,0.034321951417155105,0.010293506683650908,0.14483555623889893,0.02956377677479664,0.019619528982673502,0.13550953393987633,0.05619119907085479,0.13542147525277182,0.04324331390669833,0.1490237087305615,-0.03817756022972518,0.07264296698006142,-0.03123997910779555,0.04993878361884223,0.015032285119296884,0.018705525074011464,0.0244878810200288
FUNDAMENTAL_STATE,STABLE,252d,290,36,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.5242539785692258,0.2059008237844041,0.7862068965517242,0.2238220005421783,0.02586940150168704,0.5379310344827586,0.9218546514525879,0.026093874850961762,0.665829787760821,0.08764771895595176,0.35246444941556043,0.6960435077228913,0.1016781603636109,0.3249647842565485,0.7235431728819032,0.08573103311904103,0.05578917562885788,0.3918548254554987,0.043741131252444894,0.1380893832873863,0.3095546177969703,0.12256468284398125,0.30260710604635366,0.13412222234087265,0.2863959094613284,-0.05990158629612613,0.1224906098327444,-0.02906114585220795,0.05967297638926228,0.02308553936818869,0.01259211283909567,0.022518848102830225
FUNDAMENTAL_STATE,STABLE,504d,249,36,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.9907130616732132,0.5498625557594539,0.8674698795180723,0.4532394209386374,0.16113465682999784,0.5823293172690763,1.212900873607406,0.17262929319619325,1.471913743058595,0.17663398658992163,0.6445104479569668,1.3369156753894595,0.06429316499840244,0.8646984582763444,1.116727665070082,0.1786134993544747,0.103156962203867,0.8033218796734078,0.06289073080214885,0.32997358856642567,0.5765052533108491,0.2922945089749594,0.8528185741348728,0.4380125969131265,0.680741061140993,-0.11934448687444425,0.39782290708510853,0.07111549133127655,0.2777684431812051,0.11600955831313564,0.07317512382376667,0.025956768249468465
FUNDAMENTAL_STATE,DETERIORATING,60d,177,36,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.12653353843541537,0.05807352746530925,0.6610169491525424,0.022653022946746693,-0.015958408609561214,0.4463276836158192,0.30248300513892556,-0.032258036103757215,0.2030904234031119,0.02589628497194383,0.07577681989040547,0.17729025698042528,0.028460126622006594,0.07075169025628245,0.1823153866145483,0.02772325831306927,-0.031684563346869074,0.07699060924036245,0.025921890170750656,-0.02815388178792459,0.07345992768141797,0.03045675134759085,0.08779444396398017,0.03045675134759085,0.08779444396398017,-0.06769158669135582,0.014199596548520859,-0.057564118508945224,0.00665274810627929,0.005940776831464767,-0.020051073865087643,-0.06528479150030553
FUNDAMENTAL_STATE,DETERIORATING,120d,172,36,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.24082232226885622,0.08133115690673198,0.7093023255813954,0.06116606707546395,-0.06683452023647474,0.3953488372093023,0.6408250712561202,-0.027545958697913903,0.2800733018513847,0.0522872647461693,0.1383392833663644,0.343305361171348,0.06030325189711022,0.12262794855052019,0.35901669598719227,0.05166513313384608,-0.04009759386687437,0.16242972801780228,0.056722501581252104,-0.050010036023790165,0.17234217017471806,0.03371102644366079,0.14999993298132885,0.050358575314958375,0.13597729485738985,-0.10315861098434735,0.017506995364213518,-0.09449759814677794,-0.008240876681630567,0.0032870160788162073,-0.06662485604751678,-0.10259917920656636
