baseline,horizon,n,unique_issuer_count,mean_return,median_return,positive_rate,mean_excess_return,median_excess_return,mean_max_close_to_close_favorable_return,mean_max_close_to_close_adverse_return,worst_max_drawdown,iid_standard_error,iid_ci95_low,iid_ci95_high,issuer_cluster_standard_error,issuer_cluster_ci95_low,issuer_cluster_ci95_high,time_cluster_standard_error,time_cluster_ci95_low,time_cluster_ci95_high,independence_assumption
A_0050_BUY_AND_HOLD,20d,30,1,0.029422146642588444,0.027602684853225146,0.7,0.0,0.0,0.06670751006208271,-0.04920238537946985,-0.22191586339594238,0.012999111571296702,0.00394388796284691,0.05490040532232998,,,,0.012999111571296702,0.00394388796284691,0.05490040532232998,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
A_0050_BUY_AND_HOLD,60d,30,1,0.08275638012035141,0.04443960944021208,0.7666666666666667,0.0,0.0,0.17529106815273415,-0.07298074113069543,-0.4013490679041213,0.02119142247940167,0.041221192060724145,0.12429156817997869,,,,0.02119142247940167,0.041221192060724145,0.12429156817997869,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
A_0050_BUY_AND_HOLD,120d,28,1,0.15892515737560634,0.12549088417773335,0.8214285714285714,0.0,0.0,0.22965691861705123,-0.09993664777177744,-0.4435075375099139,0.03836412333617264,0.08373147563670796,0.2341188391145047,,,,0.038364123336172645,0.08373147563670795,0.2341188391145047,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
A_0050_BUY_AND_HOLD,252d,26,1,0.30751804111658376,0.2724877113467278,0.8461538461538461,0.0,0.0,0.5120155866452888,-0.14722131935188476,-0.5751974001876238,0.06999830455463002,0.17032136418950894,0.4447147180436586,,,,0.06999830455463002,0.17032136418950894,0.4447147180436586,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
A_0050_BUY_AND_HOLD,504d,22,1,0.6013167627890657,0.6320482704458897,0.9090909090909091,0.0,0.0,1.2416952637399576,-0.14830376311996088,-0.5751974001876238,0.10427765749358871,0.39693255410163175,0.8057009714764996,,,,0.10427765749358872,0.39693255410163175,0.8057009714764996,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
A_0050_BUY_AND_HOLD,756d,18,1,0.8309084026766828,0.5746421790401516,1.0,0.0,0.0,1.855782890124654,-0.13031473576098784,-0.5751974001876238,0.16037787035983397,0.5165677767714082,1.1452490285819574,,,,0.16037787035983397,0.5165677767714082,1.1452490285819574,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
B_CURRENT_CONSTITUENT_UNCONDITIONAL,20d,1470,50,0.03231513928391685,0.014711488977723564,0.5891156462585034,0.0027180065762774336,-0.006931710535877378,0.07908525677553957,-0.04764164534197846,-0.5543477774029788,0.003320133186725506,0.025807678237934856,0.03882260032989884,0.0028079835486102315,0.026811491528640794,0.037818787039192905,0.012621924528126733,0.0075761672087884535,0.05705411135904524,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
B_CURRENT_CONSTITUENT_UNCONDITIONAL,60d,1470,50,0.11078270123635713,0.04806333463552426,0.6775510204081633,0.027558875161568762,-0.008508509765370376,0.1991434492583694,-0.07792857827969835,-0.6048912670741556,0.007264843885258465,0.09654360722125054,0.12502179525146373,0.009247849712091211,0.09265691580065835,0.1289084866720559,0.024144374612434592,0.06345972699598532,0.15810567547672894,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
B_CURRENT_CONSTITUENT_UNCONDITIONAL,120d,1370,50,0.20635053551113816,0.08840867172561229,0.7051094890510949,0.0465517804249515,-0.017468075581147935,0.32846968406779986,-0.10495668470185392,-0.6267966943883834,0.011770236067374769,0.18328087281908362,0.2294201982031927,0.01958446277207545,0.16796498847787028,0.24473608254440604,0.040986673674238756,0.1260166551096302,0.28668441591264615,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
B_CURRENT_CONSTITUENT_UNCONDITIONAL,252d,1270,49,0.45899763908809554,0.17774262306247812,0.7661417322834646,0.1511101088546774,-0.029481633919415495,0.6636212583341399,-0.1489470779781699,-0.7054816163773929,0.02834762286694489,0.40343629826888355,0.5145589799073075,0.050142816453363354,0.3607177188395034,0.5572775593366877,0.09789294958808047,0.26712745789545783,0.6508678202807332,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
B_CURRENT_CONSTITUENT_UNCONDITIONAL,504d,1074,49,0.935604992372519,0.43703868742485275,0.88268156424581,0.33061130146449447,0.02623797959662727,1.2974649975970727,-0.16589008006677006,-0.7270428793694239,0.04870319079787471,0.8401467384086846,1.0310632463363534,0.11303760386653679,0.714051288794107,1.157158695950931,0.11692663769867423,0.7064287824831176,1.1647812022619206,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
B_CURRENT_CONSTITUENT_UNCONDITIONAL,756d,878,49,1.5128942433152965,0.6987576149870217,0.9214123006833713,0.6791397037311468,0.07965110648223983,2.155228188220014,-0.1692250450699342,-0.83445116116871,0.07985317706421173,1.3563820162694415,1.6694064703611515,0.2050361280313978,1.111023432373757,1.9147650542568362,0.2075105697183402,1.1061735266673498,1.9196149599632433,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
C_STATE_ONLY,20d,326,36,0.04023700470874208,0.014360826517906156,0.5736196319018405,0.014173611466926191,-0.005717173181941537,0.09692984835822654,-0.06094134591963177,-0.3106712250785497,0.008448601327716458,0.023677746106417822,0.05679626331106634,0.008566660245978882,0.02344635062662347,0.05702765879086069,0.017067473526403115,0.006784756596991973,0.07368925282049218,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
C_STATE_ONLY,60d,326,36,0.12547770768624184,0.0714766110347489,0.656441717791411,0.04799691428881804,0.012738411116813508,0.23472789347170092,-0.10111714251732623,-0.599561403508772,0.016500267016924888,0.09313718433306906,0.1578182310394146,0.020364588326046068,0.08556311456719154,0.16539230080529213,0.029962990610049138,0.06675024609054553,0.18420516928193814,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
C_STATE_ONLY,120d,306,36,0.25218907438226223,0.12357951609471807,0.6895424836601307,0.09682446086586129,0.02614391588779963,0.40237844165658054,-0.13140627127112103,-0.6267966943883834,0.024312778929650974,0.20453602768014634,0.29984212108437813,0.03157773704028502,0.1902967097833036,0.3140814389812209,0.05352343647637839,0.1472831388885606,0.3570950098759639,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
C_STATE_ONLY,252d,284,36,0.598021110189383,0.27118159039940837,0.7816901408450704,0.26659018625690634,0.07513577177686914,0.8406865829815421,-0.17094662905298763,-0.6267966943883834,0.05788344563590565,0.4845695567430079,0.711472663635758,0.07271328366539483,0.4555030742052091,0.7405391461735569,0.13419067087583125,0.33500739527275375,0.8610348251060123,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
C_STATE_ONLY,504d,207,36,0.994564225110905,0.48970315964308786,0.8647342995169082,0.519870815242701,0.16724055880458777,1.4563156666651234,-0.17626618061871202,-0.7053665993785874,0.12441354951444901,0.750713668062585,1.238414782159225,0.16465389581632828,0.6718425893109017,1.3172858609109084,0.19151047293333098,0.6192036981615763,1.3699247520602338,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
C_STATE_ONLY,756d,194,36,1.7297538161510373,0.9245873388704651,0.8865979381443299,0.9361463956119409,0.3812404748628683,2.343983372647256,-0.18866205140823872,-0.7053665993785874,0.16026922149305756,1.4156261420246445,2.04388149027743,0.25841773870988555,1.2232550482796616,2.236252584022413,0.30055990825965867,1.1406563959621063,2.3188512363399685,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
D_QUALITY_ONLY,20d,183,23,0.038661352701858685,0.01626012026580903,0.5792349726775956,0.008334493118279584,-0.0003970680808869087,0.09811417756888464,-0.06995025982004395,-0.5543477774029788,0.010471181360100952,0.01813783723606082,0.05918486816765655,0.010624615026374292,0.017837107250165074,0.059485598153552297,0.02145998414885912,-0.0034002162299051897,0.08072292163362256,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
D_QUALITY_ONLY,60d,183,23,0.16699463763639583,0.10894188830482521,0.726775956284153,0.07085808742309908,0.020650024486875918,0.26550739090090286,-0.10315769425148408,-0.6048912670741556,0.020984557348685977,0.1258649052329713,0.20812437003982034,0.028598818039878172,0.11094095427823461,0.22304832099455704,0.03552855262040884,0.0973586745003945,0.23663060077239717,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
D_QUALITY_ONLY,120d,167,21,0.33160435130166416,0.18437499367638033,0.7544910179640718,0.1524813197762027,0.053162870550555574,0.46924540020026434,-0.12672408256149664,-0.6267966943883834,0.03629058993733589,0.26047479502448584,0.4027339075788425,0.05720182667446966,0.21948877101970363,0.44371993158362466,0.07731703899839171,0.1800629548648164,0.48314574773851193,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
D_QUALITY_ONLY,252d,151,21,0.7588599932113488,0.39909599160932685,0.8145695364238411,0.40618907903736984,0.12244956149995323,0.9950687036235722,-0.17168776397427066,-0.6733178461317022,0.09598331202090005,0.5707327016503847,0.9469872847723129,0.14857559535484816,0.4676518263158464,1.0500681601068511,0.22501632491868262,0.31782799637073084,1.1998919900519667,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
