baseline,horizon,n,unique_issuer_count,mean_return,median_return,positive_rate,mean_excess_return,median_excess_return,mean_max_close_to_close_favorable_return,mean_max_close_to_close_adverse_return,worst_max_drawdown,iid_standard_error,iid_ci95_low,iid_ci95_high,issuer_cluster_standard_error,issuer_cluster_ci95_low,issuer_cluster_ci95_high,time_cluster_standard_error,time_cluster_ci95_low,time_cluster_ci95_high,independence_assumption,diagnostic_only
STATE_IMPROVING,60d,326,36,0.12547770768624184,0.0714766110347489,0.656441717791411,0.04799691428881804,0.012738411116813508,0.23472789347170092,-0.10111714251732623,-0.599561403508772,0.016500267016924888,0.09313718433306906,0.1578182310394146,0.020364588326046068,0.08556311456719154,0.16539230080529213,0.029962990610049138,0.06675024609054553,0.18420516928193814,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,True
STATE_IMPROVING,120d,306,36,0.25218907438226223,0.12357951609471807,0.6895424836601307,0.09682446086586129,0.02614391588779963,0.40237844165658054,-0.13140627127112103,-0.6267966943883834,0.024312778929650974,0.20453602768014634,0.29984212108437813,0.03157773704028502,0.1902967097833036,0.3140814389812209,0.05352343647637839,0.1472831388885606,0.3570950098759639,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,True
STATE_IMPROVING,252d,284,36,0.598021110189383,0.27118159039940837,0.7816901408450704,0.26659018625690634,0.07513577177686914,0.8406865829815421,-0.17094662905298763,-0.6267966943883834,0.05788344563590565,0.4845695567430079,0.711472663635758,0.07271328366539483,0.4555030742052091,0.7405391461735569,0.13419067087583125,0.33500739527275375,0.8610348251060123,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,True
STATE_IMPROVING,504d,207,36,0.994564225110905,0.48970315964308786,0.8647342995169082,0.519870815242701,0.16724055880458777,1.4563156666651234,-0.17626618061871202,-0.7053665993785874,0.12441354951444901,0.750713668062585,1.238414782159225,0.16465389581632828,0.6718425893109017,1.3172858609109084,0.19151047293333098,0.6192036981615763,1.3699247520602338,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,True
STATE_STABLE,60d,310,36,0.10523970109627491,0.029661468416076087,0.6225806451612903,0.03496893118565528,-0.006821524195972817,0.2101486735669463,-0.09915129233213286,-0.6048912670741556,0.015532667886812764,0.07479567203812189,0.13568373015442792,0.023289828940727793,0.05959163637244844,0.15088776582010138,0.03022269162783882,0.04600322550571083,0.164476176686839,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,True
STATE_STABLE,120d,282,35,0.20240734847086253,0.08996826089649512,0.6702127659574468,0.06377360044215473,-0.010011844494085542,0.3376403986221053,-0.12581154956576862,-0.6048912670741556,0.02365735546285837,0.15603893176366013,0.24877576517806493,0.03390054515574839,0.13596227996559568,0.2688524169761294,0.04594110462987433,0.11236278339630884,0.2924519135454162,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,True
STATE_STABLE,252d,254,35,0.47671739501630944,0.17721898251261636,0.7637795275590551,0.21289097396936732,0.02023418420241374,0.6874579134565889,-0.16332841749049457,-0.6048912670741556,0.05722685030482116,0.36455276841886,0.5888820216137589,0.08401308047219505,0.31205175729080714,0.6413830327418117,0.10222985245683847,0.27634688420090603,0.6770879058317129,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,True
STATE_STABLE,504d,230,35,1.044550601276233,0.6013948262420027,0.8913043478260869,0.48579138602780003,0.22218041062880522,1.3868304066658845,-0.18734018902709965,-0.6733178461317022,0.0831133452399107,0.881648444606008,1.2074527579464578,0.17858419086429794,0.6945255871822089,1.3945756153702569,0.07005057619333421,0.9072514719372978,1.181849730615168,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,True
STATE_DETERIORATING,60d,168,35,0.13626382735453169,0.06773863232427269,0.6845238095238095,0.031932856329027905,-0.020511234045012317,0.22878655220262378,-0.06662669844431211,-0.4392857089946933,0.022338305952058393,0.09248074768849723,0.18004690702056614,0.023835816350574284,0.08954562730740609,0.18298202740165728,0.028500767060167295,0.08040232391660379,0.19212533079245958,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,True
STATE_DETERIORATING,120d,159,35,0.24082768010877167,0.09541067289657512,0.7232704402515723,0.05357591434698023,-0.043138839296506304,0.3720426445552223,-0.09623584006221093,-0.5268040482591041,0.04250808397132253,0.15751183552497952,0.3241435246925638,0.05403052358058679,0.13492785389082157,0.3467275063267218,0.06548649427760021,0.11247415132467525,0.3691812088928681,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,True
STATE_DETERIORATING,252d,150,34,0.32034068685999,0.1241134708019982,0.66,-0.003298724105314396,-0.14061539524019057,0.5519944526147152,-0.15969889154654082,-0.6733178461317022,0.07675156653823267,0.16990761644505398,0.47077375727492604,0.10319391350159485,0.11808061639686412,0.522600757323116,0.08649423220808576,0.1508119917321419,0.48986938198783814,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,True
