symbol,company,sector_logic,peer_group,financial_subtype,retrieval_date,source_version,source_hash,period_end,revenue,gross_profit,operating_income,net_income,pre_tax_income,interest_expense,eps,equity,assets,liabilities,current_assets,current_liabilities,cash,debt,retained_earnings,ordinary_shares,bvps,cfo,capex,fcf,ttm_revenue,ttm_gross_profit,ttm_operating_income,ttm_net_income,ttm_eps,ttm_interest_expense,ttm_cfo,ttm_capex,ttm_fcf,gross_margin,operating_margin,net_margin,roe,roa,roic,cfo_net_income,net_debt,net_debt_equity,debt_equity,current_ratio,revenue_yoy,eps_yoy,fcf_yoy,operating_margin_change,equity_yoy,announcement_date,available_date,availability_method,timestamp_confidence
1216,統一,GENERAL,CONSUMER_STAPLES,,2026-09-04T03:11:33.835455+00:00,FinMind API v4 normalized-contract-0.1.1,8437ec5eb9a769c809274de53a1d3800e88ad611c262a459f4226575cce847ee,2016-03-31,106667516000.0,36522564000.0,6561057000.0,6398071000.0,7980132000.0,,0.76,100258375000.0,396467101000.0,235004906000.0,137459969000.0,146429565000.0,45417491000.0,98724148000.0,37221730000.0,56820154000.0,,14344705000.0,4348045000.0,9996660000.0,,,,,,,,,,,,,,,,,53306657000.0,0.5316928087055072,0.984697268432687,0.9387446380790655,,,,,,,2016-05-30,AVAILABLE_DATE_PROXY,conservative_proxy
1216,統一,GENERAL,CONSUMER_STAPLES,,2026-09-04T03:11:33.835455+00:00,FinMind API v4 normalized-contract-0.1.1,8437ec5eb9a769c809274de53a1d3800e88ad611c262a459f4226575cce847ee,2016-06-30,104854989000.0,36304557000.0,6791558000.0,7178712000.0,9049733000.0,,0.84,91703928000.0,395773777000.0,247385522000.0,147130618000.0,159125374000.0,51839085000.0,102113413000.0,30616422000.0,56820154000.0,,11061546000.0,2996837000.0,8064709000.0,,,,,,,,,,,,,,,,,50274328000.0,0.5482243683171347,1.1135118770484946,0.924620720765753,,,,,,,2016-08-29,AVAILABLE_DATE_PROXY,conservative_proxy
1216,統一,GENERAL,CONSUMER_STAPLES,,2026-09-04T03:11:33.835455+00:00,FinMind API v4 normalized-contract-0.1.1,8437ec5eb9a769c809274de53a1d3800e88ad611c262a459f4226575cce847ee,2016-09-30,107425651000.0,35471045000.0,4267398000.0,6250390000.0,8488779000.0,,0.73,93913718000.0,378078535000.0,226587355000.0,133122301000.0,139795081000.0,40417384000.0,94088428000.0,34754113000.0,56820154000.0,,9655102000.0,2960055000.0,6695047000.0,,,,,,,,,,,,,,,,,53671044000.0,0.5714931230813373,1.0018603246013538,0.9522674191948142,,,,,,,2016-11-29,AVAILABLE_DATE_PROXY,conservative_proxy
1216,統一,GENERAL,CONSUMER_STAPLES,,2026-09-04T03:11:33.835455+00:00,FinMind API v4 normalized-contract-0.1.1,8437ec5eb9a769c809274de53a1d3800e88ad611c262a459f4226575cce847ee,2016-12-31,94416159000.0,29351931000.0,3471053000.0,3848263000.0,4983698000.0,,0.23,94405847000.0,378585465000.0,225885199000.0,139819001000.0,140997934000.0,56334630000.0,86173628000.0,35508754000.0,56820154000.0,,20464795000.0,3043504000.0,17421291000.0,413364315000.0,137650097000.0,21091066000.0,23675436000.0,2.56,,55526148000.0,13348441000.0,42177707000.0,0.33299946803584146,0.0510229481226506,0.05727498756151701,,,,2.3453062490591514,29838998000.0,0.31607150349490537,0.9127996913157296,0.9916386505351206,,,,,,,2017-03-31,AVAILABLE_DATE_PROXY,conservative_proxy
1216,統一,GENERAL,CONSUMER_STAPLES,,2026-09-04T03:11:33.835455+00:00,FinMind API v4 normalized-contract-0.1.1,8437ec5eb9a769c809274de53a1d3800e88ad611c262a459f4226575cce847ee,2017-03-31,96114609000.0,32068573000.0,5607043000.0,6796384000.0,8165062000.0,,0.79,95694262000.0,353964073000.0,199307246000.0,121662493000.0,127952285000.0,46462223000.0,75168798000.0,39977343000.0,56820154000.0,,-2376951000.0,3529569000.0,-5906520000.0,402811408000.0,133196106000.0,20137052000.0,24073749000.0,2.59,,38804492000.0,12529965000.0,26274527000.0,0.3306661712023806,0.049991265391371435,0.05976431779707689,0.2457098752899151,0.06415977862881267,0.11366319503097204,1.6119006640801978,28706575000.0,0.29998219746968735,0.7855099817792628,0.9508426754551511,,,,,-0.045523508634565446,,2017-05-30,AVAILABLE_DATE_PROXY,conservative_proxy
1216,統一,GENERAL,CONSUMER_STAPLES,,2026-09-04T03:11:33.835455+00:00,FinMind API v4 normalized-contract-0.1.1,8437ec5eb9a769c809274de53a1d3800e88ad611c262a459f4226575cce847ee,2017-06-30,100103678000.0,33279696000.0,6317746000.0,7143660000.0,8836643000.0,,0.83,89503527000.0,369434330000.0,224149499000.0,136657651000.0,137972496000.0,63775258000.0,84853524000.0,32751233000.0,56820154000.0,,16947859000.0,3578571000.0,13369288000.0,398060097000.0,130171245000.0,19663240000.0,24038697000.0,2.58,,44690805000.0,13111699000.0,31579106000.0,0.327014051348131,0.04939766670458305,0.06038961750039467,0.26531686568855567,0.06282917491358989,0.12282853980930108,1.8591192775548524,21078266000.0,0.23550207133178114,0.9480467065839763,0.9904702383582304,,,,,-0.02399462103738892,,2017-08-29,AVAILABLE_DATE_PROXY,conservative_proxy
1216,統一,GENERAL,CONSUMER_STAPLES,,2026-09-04T03:11:33.835455+00:00,FinMind API v4 normalized-contract-0.1.1,8437ec5eb9a769c809274de53a1d3800e88ad611c262a459f4226575cce847ee,2017-09-30,108818851000.0,37427116000.0,7546538000.0,8507839000.0,9695985000.0,,1.01,95865414000.0,359783043000.0,204937669000.0,130475488000.0,133448472000.0,43184011000.0,69496124000.0,38463817000.0,56820154000.0,,13796379000.0,3036100000.0,10760279000.0,399453297000.0,132127316000.0,22942380000.0,26296146000.0,2.8600000000000003,,48832082000.0,13187744000.0,35644338000.0,0.3307703728879224,0.05743444896387975,0.06583033910970573,0.2771236829136725,0.07127663720145623,0.14118063419763144,1.8570052813062417,26312113000.0,0.2744692992198417,0.7249342708727049,0.9777218580666851,,,,,0.020781798884801805,,2017-11-29,AVAILABLE_DATE_PROXY,conservative_proxy
1216,統一,GENERAL,CONSUMER_STAPLES,,2026-09-04T03:11:33.835455+00:00,FinMind API v4 normalized-contract-0.1.1,8437ec5eb9a769c809274de53a1d3800e88ad611c262a459f4226575cce847ee,2017-12-31,94823815000.0,29965286000.0,2885748000.0,37517204000.0,49789935000.0,,4.39,120075277000.0,414655454000.0,223355260000.0,174909878000.0,140208164000.0,54701904000.0,70284953000.0,63046237000.0,56820154000.0,,18095164000.0,4478989000.0,13616175000.0,399860953000.0,132740671000.0,22357075000.0,59965087000.0,7.02,,46462451000.0,14623229000.0,31839222000.0,0.3319670750647163,0.055912123532602095,0.14996484790551678,0.5591642367558648,0.15119010016678175,0.13487786825641657,0.7748250411110051,15583049000.0,0.1297773312652862,0.585340752534762,1.2475013794489171,-0.03266697561931542,1.7421874999999996,-0.24511728435118585,0.004889175409951499,0.27190508655676804,,2018-03-31,AVAILABLE_DATE_PROXY,conservative_proxy
1216,統一,GENERAL,CONSUMER_STAPLES,,2026-09-04T03:11:33.835455+00:00,FinMind API v4 normalized-contract-0.1.1,8437ec5eb9a769c809274de53a1d3800e88ad611c262a459f4226575cce847ee,2018-03-31,104288097000.0,35429055000.0,7013366000.0,6531262000.0,8525688000.0,,0.75,124609269000.0,412039147000.0,213629188000.0,173005734000.0,143869775000.0,88405837000.0,61130775000.0,67763401000.0,56820154000.0,,72533000.0,3075617000.0,-3003084000.0,408034441000.0,136101153000.0,23763398000.0,59699965000.0,6.98,,48911935000.0,14169277000.0,34742658000.0,0.33355310072955335,0.05823870637429844,0.14631109289129837,0.5419791932431623,0.15587392700516325,0.1665115217480069,0.8192958739590551,-27275062000.0,-0.2188846962901291,0.4905796775037658,1.202516192160584,0.012966447563967698,1.6949806949806954,0.32229432712527983,0.008247440982927005,0.30216030089662005,,2018-05-30,AVAILABLE_DATE_PROXY,conservative_proxy
1216,統一,GENERAL,CONSUMER_STAPLES,,2026-09-04T03:11:33.835455+00:00,FinMind API v4 normalized-contract-0.1.1,8437ec5eb9a769c809274de53a1d3800e88ad611c262a459f4226575cce847ee,2018-06-30,110357679000.0,37762265000.0,7833751000.0,8649353000.0,11767939000.0,,0.97,100196753000.0,417766243000.0,256919325000.0,180706871000.0,184311879000.0,84536304000.0,60208050000.0,41995511000.0,56820154000.0,,13599267000.0,3478879000.0,10120388000.0,418288442000.0,140583722000.0,25279403000.0,61205658000.0,7.12,,45563343000.0,14069585000.0,31493758000.0,0.33609277207807714,0.060435337106445795,0.1463240478444776,0.6452880090635607,0.15550206668866334,0.20803372545897303,0.7444302453214374,-24328254000.0,-0.24280481424383082,0.6008982147355614,0.9804407180939216,0.05081731415043089,1.7596899224806202,-0.0027026730902388607,0.011037670401862744,0.11947267731695077,,2018-08-29,AVAILABLE_DATE_PROXY,conservative_proxy
