dimension,bucket,horizon,observations,unique_issuers,support_status,support_min_observations,support_min_issuers,uncertainty_contract,mean_return,median_return,positive_return_rate,mean_excess_return,median_excess_return,outperform_0050_rate,standard_deviation,p25_return,p75_return,issuer_cluster_mean_return_se,issuer_cluster_mean_return_ci95_low,issuer_cluster_mean_return_ci95_high,time_cluster_mean_return_se,time_cluster_mean_return_ci95_low,time_cluster_mean_return_ci95_high,issuer_cluster_mean_excess_se,issuer_cluster_mean_excess_ci95_low,issuer_cluster_mean_excess_ci95_high,time_cluster_mean_excess_se,time_cluster_mean_excess_ci95_low,time_cluster_mean_excess_ci95_high,issuer_cluster_median_return_ci95_low,issuer_cluster_median_return_ci95_high,time_cluster_median_return_ci95_low,time_cluster_median_return_ci95_high,issuer_cluster_median_excess_ci95_low,issuer_cluster_median_excess_ci95_high,time_cluster_median_excess_ci95_low,time_cluster_median_excess_ci95_high,quality,fundamental_state,valuation_bucket,median_return_lift_vs_all,median_excess_return_lift_vs_all,outperform_rate_lift_vs_all
QUALITY_X_STATE,GOOD × IMPROVING,60d,70,15,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.17051195304312738,0.12957003446228643,0.7142857142857143,0.08176196782180074,0.03235046428306804,0.6714285714285714,0.26071949293511537,-0.011360278351623981,0.298620103490971,0.038848087818366815,0.09436970091912843,0.24665420516712633,0.051413134063162516,0.06974221027932885,0.2712816958069259,0.028118056481055656,0.026650577118931658,0.13687335852466984,0.03384754640418972,0.015420776869588884,0.1481031587740126,0.042291343479856636,0.20942418900439885,0.03117854339698911,0.22866901700722608,0.01609171418935231,0.09452281859349543,0.015280850741101174,0.07762271349941537,GOOD,IMPROVING,,0.07743728382844195,0.028257799027541608,0.15981609631244664
QUALITY_X_STATE,GOOD × IMPROVING,120d,66,14,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.3926956029031171,0.23116474760401917,0.7424242424242424,0.21932223160954586,0.08924440139364354,0.6666666666666666,0.5565223607046826,-0.010711713564917319,0.6025107361027078,0.09181664323025042,0.2127349821718263,0.5726562236344079,0.12499625186559227,0.14770294924655628,0.637688256559678,0.06878162084991189,0.08451025474371857,0.35413420847537314,0.08013958837377035,0.06224863839695599,0.37639582482213574,0.12216419262896028,0.45136546860049304,0.08292304296241393,0.5543845528781504,0.03026116093004523,0.3057853083368584,0.013597284689151612,0.20718813142847436,GOOD,IMPROVING,,0.1531206067761034,0.0894540655826015,0.16871865025079796
QUALITY_X_STATE,GOOD × IMPROVING,252d,60,14,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,1.1061860756354522,0.6223009950682785,0.85,0.6450430629070171,0.17334019213441254,0.8,1.4343579055563767,0.13905939141830254,1.5468608562356794,0.2577004657208421,0.6010931628226017,1.6112789884483028,0.33453609845146315,0.45049532267058445,1.76187682860032,0.21384924841574043,0.2258985360121658,1.0641875898018682,0.1867729358538674,0.27896810863343696,1.0111180171805971,0.2514183631978604,1.1699457127068462,0.13926618734604315,1.170029399251685,0.05597544400175436,0.6086549197977487,0.06500497698777086,0.44134798109626844,GOOD,IMPROVING,,0.4394857106520631,0.16006290347182117,0.2845878136200717
QUALITY_X_STATE,GOOD × IMPROVING,504d,27,11,INSUFFICIENT_SUPPORT,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,1.8783550567766352,0.6577928803653246,0.9629629629629629,1.346527702799456,0.3020797452805136,0.8518518518518519,3.1733296599925205,0.24909076685372478,1.6225721190603704,0.7487800792824629,0.4107461013830078,3.3459640121702625,0.7660413403441354,0.37691402970212984,3.3797960838511405,0.6655895869979621,0.041972112283450214,2.6510832933154616,0.6301091156121387,0.11151383619966415,2.581541569399248,0.2645936175170739,1.9111381613030736,0.2822599352033012,1.6367568837618662,0.1152846266795916,1.093999203402797,0.12890475954170588,1.2032784636244496,GOOD,IMPROVING,,0.22393988291900635,0.21412021227428246,0.295479302832244
QUALITY_X_STATE,GOOD × STABLE,60d,64,17,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.18252778890247634,0.136435347710388,0.765625,0.0993306384719353,0.06386175791607396,0.6875,0.2698626616734559,0.004579345513364863,0.27703709937119514,0.0358528689874373,0.11225616568709923,0.25279941211785345,0.03794544589645404,0.10815471494542643,0.25690086285952624,0.037648930044825966,0.025538735584076405,0.17312254135979419,0.02817298082852076,0.04411159604803461,0.15454968089583598,0.09845504261330151,0.23741021789348582,0.08492747380462329,0.2173913142490176,0.016965938054148033,0.10007953725809493,0.024675185727002547,0.09890047200627028,GOOD,STABLE,,0.08430259707654353,0.05976909266054753,0.17588752488387527
QUALITY_X_STATE,GOOD × STABLE,120d,58,15,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.394374975286779,0.25139447262194714,0.8275862068965517,0.23597378532305732,0.11720648642464992,0.6551724137931034,0.5717977729411465,0.05576898101610578,0.5291066955864321,0.08472224074212753,0.22831938343220906,0.560430567141349,0.07606776702666182,0.24528215191452185,0.5434677986590362,0.07820646242722425,0.0826891189656978,0.38925845168041684,0.06373652962300246,0.11105018726197251,0.3608973833841421,0.09230233436882074,0.3890490458191205,0.11243312811561346,0.3747832431764919,-0.013477085269048783,0.2808873946549076,0.047951421503477976,0.20750411312741912,GOOD,STABLE,,0.17335033179403136,0.11741615061360788,0.15722439737723476
QUALITY_X_STATE,GOOD × STABLE,252d,52,15,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.9435119032787961,0.699050562968878,0.8846153846153846,0.5651245151130962,0.4008384896211132,0.7115384615384616,1.0568732351563004,0.24116222404273852,1.1074940554601358,0.16755030274517713,0.6151133098982489,1.2719104966593433,0.15710564437503016,0.635584840303737,1.2514389662538552,0.18078786361552826,0.21078030242666085,0.9194687277995317,0.12620975650489055,0.31775339236351074,0.8124956378626818,0.36795656727086845,1.0059903894526894,0.38822072535289265,0.9892638217644223,0.0749571881574428,0.5365687342962064,0.2637854202998981,0.5259685233408057,GOOD,STABLE,,0.5162352785526626,0.3875612009585218,0.1961262751585332
QUALITY_X_STATE,GOOD × STABLE,504d,45,11,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,2.108973398076913,1.744788267845868,0.9777777777777777,1.4499447230789422,0.9871922363922476,0.8888888888888888,1.4984309457868215,1.0785385937403982,3.117715743542985,0.4978206481408348,1.1332449277208767,3.0847018684329495,0.2507160453207901,1.6175699492481643,2.6003768469056614,0.5029110204218505,0.4642391230521151,2.435650323105769,0.22748298503955727,1.00407807240141,1.8958113737564743,1.0811798871528753,2.9750462427586073,1.296375698789368,2.848156138065454,0.406083119982648,2.4197973527145447,0.7460977823083035,1.663443540174041,GOOD,STABLE,,1.3109352703995496,0.8992327033860165,0.332516339869281
QUALITY_X_STATE,GOOD × DETERIORATING,60d,27,12,INSUFFICIENT_SUPPORT,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10049907720468115,0.06963778209734461,0.7407407407407407,-0.009243169206831884,-0.02066768311320155,0.4444444444444444,0.16064921925168923,0.007381367434262764,0.22342307941691386,0.03888955927464777,0.024275541026371528,0.17672261338299078,0.029714940250243772,0.04225779431420336,0.15874036009515896,0.053388862871658976,-0.11388534043528348,0.09539900202161972,0.04696411757572666,-0.10129283965525614,0.08280650124159238,0.021116038188887076,0.1553555941366247,0.027738719862549405,0.17345107197941179,-0.11654034212054053,0.034121890986478,-0.12178536542754825,0.08016671191233038,GOOD,DETERIORATING,,0.01750503146350013,-0.02476034836872798,-0.06716803067168031
QUALITY_X_STATE,GOOD × DETERIORATING,120d,27,12,INSUFFICIENT_SUPPORT,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.22507475031358037,0.2015302971012527,0.7777777777777778,0.025105787544185153,0.0011939041265678352,0.5185185185185185,0.29079799068068124,0.0188839930583915,0.3791046270102265,0.08338683181164049,0.061636559962765014,0.38851294066439573,0.05483524760898355,0.11759766499997262,0.33255183562718815,0.09745443729773084,-0.1659049095593673,0.2161164846477376,0.06026519117787379,-0.09301398716444748,0.14322556225281777,0.03126244453166373,0.349758548476246,0.08133115690673198,0.33786844291272167,-0.1670413358602154,0.16293171702001819,-0.14619689962589333,0.147218240856403,GOOD,DETERIORATING,,0.12348615627333692,0.0014035683155257939,0.020570502102649824
