dimension,bucket,horizon,observations,unique_issuers,support_status,support_min_observations,support_min_issuers,uncertainty_contract,mean_return,median_return,positive_return_rate,mean_excess_return,median_excess_return,outperform_0050_rate,standard_deviation,p25_return,p75_return,issuer_cluster_mean_return_se,issuer_cluster_mean_return_ci95_low,issuer_cluster_mean_return_ci95_high,time_cluster_mean_return_se,time_cluster_mean_return_ci95_low,time_cluster_mean_return_ci95_high,issuer_cluster_mean_excess_se,issuer_cluster_mean_excess_ci95_low,issuer_cluster_mean_excess_ci95_high,time_cluster_mean_excess_se,time_cluster_mean_excess_ci95_low,time_cluster_mean_excess_ci95_high,issuer_cluster_median_return_ci95_low,issuer_cluster_median_return_ci95_high,time_cluster_median_return_ci95_low,time_cluster_median_return_ci95_high,issuer_cluster_median_excess_ci95_low,issuer_cluster_median_excess_ci95_high,time_cluster_median_excess_ci95_low,time_cluster_median_excess_ci95_high,analysis_type,scope,top_five_positive_return_contribution,median_return_lift_vs_all,median_excess_return_lift_vs_all,outperform_rate_lift_vs_all,concentration_group_count,largest_group,largest_group_observation_share,herfindahl_index
FUNDAMENTAL_STATE,ALL,60d,1507,38,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10580374728861948,0.05213275063384448,0.6489714664897147,0.03642674202638648,0.004092665255526429,0.5116124751161247,0.27318935470800276,-0.0356363808700868,0.1760682440276825,0.009051643762443164,0.08806252551423088,0.12354496906300808,0.019681403700980295,0.0672281960346981,0.14437929854254086,0.008743648058375499,0.019289191831970504,0.05356429222080246,0.011449487875511139,0.013985745790384651,0.05886773826238831,0.03989172443684209,0.06700950767561609,0.029903282334891534,0.07433373818032513,-0.007337738478263211,0.016965938054148033,-0.01412750853298913,0.020243374229690067,RETURN_SENSITIVITY,FULL_SAMPLE,0.05742490696738519,0.0,0.0,0.0,,,,
FUNDAMENTAL_STATE,IMPROVING,60d,344,37,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.12307569143760679,0.06687182996080754,0.6511627906976745,0.046898580871734,0.023098686055670115,0.563953488372093,0.2745892008714033,-0.0310906654162125,0.21242245458134323,0.01828927925614066,0.0872287040955711,0.15892267877964247,0.029303217533218844,0.06564138507249785,0.1805099978027157,0.015869772464068066,0.01579382684216059,0.07800333490130741,0.016750713679468014,0.014067182059976695,0.0797299796834913,0.04241442628366876,0.08614820909755538,0.027374950570600017,0.0983333462242093,-0.0003756619407857542,0.04222083239483802,0.00034413539771128174,0.045224447907780255,RETURN_SENSITIVITY,FULL_SAMPLE,0.05742490696738519,0.014739079326963056,0.019006020800143686,0.052341013255968294,,,,
FUNDAMENTAL_STATE,STABLE,60d,330,37,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.1046985502007662,0.0633274071793426,0.6636363636363637,0.03692390413641515,0.014689768283254412,0.5333333333333333,0.24042180375294758,-0.035210207442082725,0.18661391499628566,0.019368073552275843,0.06673712603830555,0.14265997436322686,0.02866164504036377,0.04852172592165321,0.16087537447987918,0.01753474710355783,0.0025557998134418045,0.07129200845938849,0.01962215344363313,-0.001535516613105782,0.07538332488593608,0.03846147940252509,0.0836956774463038,0.02409634536822991,0.08767138262367036,-0.024835346029398554,0.03772134252904929,-0.012747092011884176,0.041042233908424514,RETURN_SENSITIVITY,FULL_SAMPLE,0.05742490696738519,0.011194656545498116,0.010597103027727983,0.021720858217208594,,,,
FUNDAMENTAL_STATE,DETERIORATING,60d,177,36,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.12653353843541537,0.05807352746530925,0.6610169491525424,0.022653022946746693,-0.015958408609561214,0.4463276836158192,0.30248300513892556,-0.032258036103757215,0.2030904234031119,0.02589628497194383,0.07577681989040547,0.17729025698042528,0.028460126622006594,0.07075169025628245,0.1823153866145483,0.02772325831306927,-0.031684563346869074,0.07699060924036245,0.025921890170750656,-0.02815388178792459,0.07345992768141797,0.03045675134759085,0.08779444396398017,0.03045675134759085,0.08779444396398017,-0.06769158669135582,0.014199596548520859,-0.057564118508945224,0.00665274810627929,RETURN_SENSITIVITY,FULL_SAMPLE,0.05742490696738519,0.005940776831464767,-0.020051073865087643,-0.06528479150030553,,,,
FUNDAMENTAL_STATE,ALL,60d,1466,37,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10627819005450766,0.051503059441268206,0.645293315143247,0.03683401397021295,0.0026552570394026143,0.5068212824010914,0.27615055832855784,-0.036763373483709394,0.17727028024028813,0.00929676436869444,0.08805653189186655,0.12449984821714877,0.019888747814528478,0.06729624433803184,0.14526013577098346,0.008982679373795002,0.019227962397574745,0.054440065542851156,0.011837806168465186,0.013631913880021187,0.06003611406040471,0.037561622219820054,0.06724132860906858,0.027649082127274238,0.07426009625616883,-0.00979126173927306,0.013243065864172307,-0.017628694281562832,0.021002712719116946,RETURN_SENSITIVITY,EX_TSMC,0.05742490696738519,0.0,0.0,0.0,,,,
FUNDAMENTAL_STATE,IMPROVING,60d,330,36,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.12501816342530614,0.06798753973255411,0.6515151515151515,0.04786487563204805,0.0247283585311715,0.5606060606060606,0.2781994318463884,-0.03193854615305439,0.2134805870907292,0.018948146182360234,0.08787979690788009,0.1621565299427322,0.029568180035678925,0.06706453055537545,0.18297179629523683,0.016510840888835508,0.015503627489930456,0.08022612377416563,0.017493928499955787,0.013576775772134703,0.08215297549196139,0.04235005937852078,0.09306952816075321,0.02828282037573701,0.10469807316411806,0.00016776542808110168,0.04546959428181595,-0.003634795267033182,0.05196052621617048,RETURN_SENSITIVITY,EX_TSMC,0.05742490696738519,0.016484480291285908,0.022073101491768887,0.053784778204969186,,,,
FUNDAMENTAL_STATE,STABLE,60d,318,36,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10495455427399925,0.06227571613916749,0.6572327044025157,0.03802196972846724,0.014052006901318137,0.5314465408805031,0.24391124643159154,-0.03676643130757207,0.1870957982283427,0.02010018664764268,0.06555818844461958,0.1443509201033789,0.029306045589245884,0.04751470491907731,0.16239440362892119,0.018152726479480876,0.002442625828684722,0.07360131362824976,0.020409631964247468,-0.0019809089214577955,0.07802484837839227,0.029558760827988584,0.08372095242350963,0.02409634536822991,0.08767138262367036,-0.02856920713692754,0.03562334999877862,-0.0190795038992231,0.04677189597831255,RETURN_SENSITIVITY,EX_TSMC,0.05742490696738519,0.010772656697899285,0.011396749861915523,0.02462525847941177,,,,
FUNDAMENTAL_STATE,DETERIORATING,60d,174,35,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.1256538686770252,0.057445959320544415,0.6551724137931034,0.02214250199238039,-0.02044121496147644,0.4367816091954023,0.3047864991896471,-0.03278974073936619,0.197303481506848,0.026331222573895915,0.07404467243218919,0.17726306492186117,0.02913587853360754,0.0685475467511544,0.18276019060289597,0.02820449118720618,-0.03313830073454371,0.0774233047193045,0.026533907395415734,-0.02986395650263445,0.07414896048739524,0.030241411296451526,0.08779444396398017,0.029152409033159965,0.08789404156780015,-0.07056888395658671,0.010755370140805631,-0.07290309700537678,0.005093508072247761,RETURN_SENSITIVITY,EX_TSMC,0.05742490696738519,0.005942899879276209,-0.023096472000879054,-0.07003967320568905,,,,
FUNDAMENTAL_STATE,ALL,60d,1506,38,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10350658699875846,0.05210816960486031,0.648738379814077,0.03436821646122397,0.004069135326258744,0.5112881806108898,0.25831061244992654,-0.03575543284195798,0.17553510015313695,0.00841707824430229,0.08700911363992597,0.12000406035759095,0.019455706519476614,0.0653734022205843,0.14163977177693263,0.008169159820330174,0.01835666321337683,0.05037976970907111,0.011143339131237365,0.012527271763998732,0.056209161158449206,0.03989172443684209,0.06975912229129261,0.030169802274896174,0.07483614675478681,-0.0077080570820833305,0.017279083771773073,-0.013039299949728154,0.02176713777638506,RETURN_SENSITIVITY,TOP_1_RETURN_REMOVED,0.05742490696738519,0.0,0.0,0.0,,,,
FUNDAMENTAL_STATE,IMPROVING,60d,344,37,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.12307569143760679,0.06687182996080754,0.6511627906976745,0.046898580871734,0.023098686055670115,0.563953488372093,0.2745892008714033,-0.0310906654162125,0.21242245458134323,0.01828927925614066,0.0872287040955711,0.15892267877964247,0.029303217533218844,0.06564138507249785,0.1805099978027157,0.015869772464068066,0.01579382684216059,0.07800333490130741,0.016750713679468014,0.014067182059976695,0.0797299796834913,0.04250901021064665,0.08601203871482044,0.032893974217527204,0.09724591714949021,0.0006838932493096195,0.04363913517896441,0.0005065713322423119,0.045340414201123995,RETURN_SENSITIVITY,TOP_1_RETURN_REMOVED,0.05742490696738519,0.014763660355947228,0.01902955072941137,0.05266530776120326,,,,
