symbol,company,sector,peer_group,financial_subtype,history_quarters,expected_quarters,missing_quarters,missing_quarter_periods,missing_metrics,eps_coverage,roe_coverage,fcf_coverage,valuation_coverage,price_coverage,pit_actual_date_coverage,pit_proxy_coverage,financial_completeness,current_state_usability,current_state,state_detail,data_quality,reason_codes,source_history_note,flags,period_end,as_of_date,announcement_date,available_date,retrieval_date,availability_method,source,source_version,source_hash
2345,智邦,GENERAL,NETWORKING,,42,42,0,,,0.9285714285714286,0.8571428571428571,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,True,STABLE,MATURE_GROWTH,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE_NOT_ESTABLISHED | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT | INTEREST_COVERAGE_SUPPORTED | SUSTAINED_GROWTH_EIGHT_PERIODS | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | EARNINGS_QUALITY_REVIEW,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:12:54.056289+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,804a28410a037df735089124722356214385fa9121416dfb6cf6f15ae4ed3871
2357,華碩,GENERAL,COMPUTER_HARDWARE,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,True,IMPROVING,TURNING_UP,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE | CASH_CONVERSION_SUPPORTED_NOT_ESTABLISHED | BALANCE_SHEET_RESILIENT_NOT_ESTABLISHED | INTEREST_COVERAGE_NOT_ESTABLISHED | EARLY_REVENUE_RECOVERY | RECOVERY_CORROBORATED | HISTORICAL_VALUATION_NORMAL | SIMPLIFIED_DCF_NOT_APPLICABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | EARNINGS_QUALITY_REVIEW,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:12:54.633866+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,80808dcc4886b244a32218fe6c5d0a191d8b7369c5029ea8e4d4bdba6e73d7cc
2360,致茂,GENERAL,TEST_MEASUREMENT,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.7380952380952381,1.0,1.0,0.0,1.0,0.8,True,IMPROVING,TURNING_UP,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT | INTEREST_COVERAGE_SUPPORTED | EARLY_REVENUE_RECOVERY | RECOVERY_CORROBORATED | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | EARNINGS_QUALITY_REVIEW,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:12:54.594027+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,1b4822ad2fd302cdde9e9ef9e577e0afcae347767c34cb7bea332c34a0663e37
2368,金像電,GENERAL,PCB,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,True,IMPROVING,TURNING_UP,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE_NOT_ESTABLISHED | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT | INTEREST_COVERAGE_SUPPORTED | EARLY_REVENUE_RECOVERY | RECOVERY_CORROBORATED | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | EARNINGS_QUALITY_REVIEW,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:12:54.509043+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,c5bc4c0b377bb8c3f642947d61595c26c52a66224ebacd5744136ac22e4e6ccb
2382,廣達,GENERAL,COMPUTER_HARDWARE,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,True,STABLE,MATURE_GROWTH,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE | CASH_CONVERSION_SUPPORTED_NOT_ESTABLISHED | BALANCE_SHEET_RESILIENT_NOT_ESTABLISHED | INTEREST_COVERAGE_NOT_ESTABLISHED | SUSTAINED_GROWTH_EIGHT_PERIODS | HISTORICAL_VALUATION_NORMAL | SIMPLIFIED_DCF_NOT_APPLICABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | EARNINGS_QUALITY_REVIEW,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:12:54.236903+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,b8bbe56ceb60387b870a2387d3762ef344c75da279b5c6187fb85fcfa83232c5
2383,台光電,GENERAL,PCB_MATERIALS,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,True,STABLE,MATURE_GROWTH,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE | CASH_CONVERSION_SUPPORTED_NOT_ESTABLISHED | BALANCE_SHEET_RESILIENT_NOT_ESTABLISHED | INTEREST_COVERAGE_NOT_ESTABLISHED | SUSTAINED_GROWTH_EIGHT_PERIODS | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_NOT_APPLICABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | EARNINGS_QUALITY_REVIEW,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:12:54.626168+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,1f3e7463f6e11f9ccfbed8c93cc000d382f684f1658e36ccfe0d73cb6600c5dd
2395,研華,GENERAL,INDUSTRIAL_COMPUTING,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.8333333333333334,1.0,1.0,0.0,1.0,0.8,True,STABLE,CONFIRMED_GROWTH,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE_NOT_ESTABLISHED | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT | INTEREST_COVERAGE_SUPPORTED | GROWTH_CONFIRMED_THREE_PERIODS | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | EARNINGS_QUALITY_REVIEW,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:14:15.706814+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,a92ca2d6278d43d342ed1b0d2b08887c3fbb7db72a21a9dffac33ff5ffe59d35
2408,南亞科,CYCLICAL,MEMORY,,42,42,0,,,0.9285714285714286,0.8571428571428571,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,False,UNKNOWN,UNKNOWN,INSUFFICIENT,METRIC_COVERAGE_INSUFFICIENT_ROIC | SECTOR_LOGIC_CYCLICAL | MIXED_FUNDAMENTAL_DIRECTION | VALUATION_SECTOR_CYCLICAL_NORMALIZED_EPS | CYCLICAL_LOW_PE_TRAP_RISK | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED | NORMALIZED_EARNINGS_REQUIRED,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:14:16.933452+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,0b0f5dc9df14401ec60d465b862268850cc0610f55a896583c252241d7836cc0
2412,中華電,GENERAL,TELECOM,,42,42,0,,,0.9285714285714286,0.8571428571428571,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,True,IMPROVING,TURNING_UP,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE | CASH_CONVERSION_SUPPORTED | BALANCE_SHEET_RESILIENT | INTEREST_COVERAGE_SUPPORTED | EARLY_REVENUE_RECOVERY | RECOVERY_CORROBORATED | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_AVAILABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:14:15.213725+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,74027ddd508a0dfad550f44958119e86f2ae3570a01d58f532bce5330bfdd1df
2449,京元電子,GENERAL,SEMICONDUCTOR_TEST,,42,42,0,,,0.9285714285714286,0.9047619047619048,0.9285714285714286,1.0,1.0,0.0,1.0,0.8,False,UNKNOWN,UNKNOWN,PARTIAL,PROFITABILITY_DURABLE | GROWTH_DURABLE | CASH_CONVERSION_SUPPORTED_NOT_ESTABLISHED | BALANCE_SHEET_RESILIENT_NOT_ESTABLISHED | INTEREST_COVERAGE_NOT_ESTABLISHED | MIXED_FUNDAMENTAL_DIRECTION | HISTORICAL_VALUATION_HIGH | SIMPLIFIED_DCF_NOT_APPLICABLE,,AVAILABLE_DATE_PROXY | ANNOUNCEMENT_DATE_UNAVAILABLE | ADJUSTED_RETURN_SECONDARY_SOURCE | RAW_PRICE_RETAINED | UNIVERSE_SOURCE_RECONSTRUCTED,2026-06-30,2026-09-03,,2026-08-29,2026-09-04T03:14:15.093421+00:00,AVAILABLE_DATE_PROXY,FinMind v4 (TWSE/MOPS-derived vendor dataset),FinMind API v4 normalized-contract-0.1.1,cf51ff7a59ce2543f5390e1f7245f2bec94d440e0dfb6f6d8a8269d98ec13e1c
