baseline,horizon,n,unique_issuer_count,mean_return,median_return,positive_rate,mean_excess_return,median_excess_return,mean_max_close_to_close_favorable_return,mean_max_close_to_close_adverse_return,worst_max_drawdown,iid_standard_error,iid_ci95_low,iid_ci95_high,issuer_cluster_standard_error,issuer_cluster_ci95_low,issuer_cluster_ci95_high,time_cluster_standard_error,time_cluster_ci95_low,time_cluster_ci95_high,independence_assumption,scope,model_filter
ROBUSTNESS_FULL_SAMPLE,60d,33,13.0,0.22120844012465485,0.1541501976284585,0.7575757575757576,0.1464883164108408,0.08797122213786412,0.2942591391940695,-0.12417291687651334,-0.3247197700050366,0.05081488368459717,0.1216112681028444,0.3208056121464653,0.062447283998648136,0.0988117634873045,0.3436051167620052,0.06981805605081783,0.08436505026505192,0.3580518299842578,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,FULL_SAMPLE,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_FULL_SAMPLE,120d,33,13.0,0.47739983171245104,0.38315359585171094,0.7878787878787878,0.3063943064111997,0.15840302012005392,0.6323859356383631,-0.1437601501142165,-0.42911875780414366,0.09194712270691623,0.29718347120689526,0.6576161922180068,0.1252189493712305,0.2319706909448393,0.7228289724800627,0.12982905193910516,0.22293488991180493,0.7318647735130972,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,FULL_SAMPLE,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_FULL_SAMPLE,252d,32,13.0,1.4347507721639343,0.5033412225629472,0.9375,0.8525624132425443,0.11985347307392868,1.6218701869653827,-0.15655059597689847,-0.6011331374702868,0.32118990289372273,0.8052185624922378,2.064282981835631,0.4322251956778346,0.5875893886353786,2.28191215569249,0.4534727985921317,0.5459440869233563,2.3235574574045126,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,FULL_SAMPLE,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_FULL_SAMPLE,504d,14,7.0,0.9707960474334966,0.7982708105287007,1.0,0.43294941961852873,0.38370694170986547,1.3491184462947157,-0.14544068399990362,-0.5751974001876238,0.22824265980359887,0.5234404342184428,1.4181516606485505,0.2844551784769946,0.4132638976185872,1.528328197248406,0.2209080976592009,0.5378161760214628,1.4037759188455303,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,FULL_SAMPLE,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_EX_TSMC,60d,26,12.0,0.26408527836067247,0.19641907531571845,0.7692307692307693,0.18281242999714137,0.13835059665708183,0.34345415656099926,-0.12600647406856347,-0.3247197700050366,0.06109731126656706,0.14433454827820102,0.3838360084431439,0.06549133293451782,0.13572226580901753,0.3924482909123274,0.07954421491407766,0.10817861712908025,0.41999193959226466,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,EX_TSMC,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_EX_TSMC,120d,26,12.0,0.5701337292886176,0.5431529818281253,0.8461538461538461,0.38131716485434713,0.3541068484185591,0.7450541716619206,-0.1386770034581271,-0.42911875780414366,0.10796127930140356,0.35852962185786663,0.7817378367193686,0.12332840128443816,0.32841006277111884,0.8118573958061164,0.14262581756790108,0.2905871268555315,0.8496803317217037,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,EX_TSMC,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_EX_TSMC,252d,25,12.0,1.669223961261637,0.568053714486489,0.92,1.0612052407565848,0.12570448865551387,1.8987232307877884,-0.1548454482961165,-0.6011331374702868,0.3962692486948901,0.8925362338196525,2.445911688703622,0.5033974934320543,0.6825648741348106,2.6558830483884637,0.5106397566586721,0.6683700382106397,2.6700778843126347,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,EX_TSMC,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_EX_TSMC,504d,10,6.0,0.9615228783764153,0.5462895727065619,1.0,0.4629699697056475,0.42180832390210526,1.4249936722923737,-0.13012020780111402,-0.5751974001876238,0.3216650944438706,0.3310592932664289,1.5919864634864016,0.402223058690181,0.17316568334366056,1.74988007340917,0.33170615405043913,0.3113788164375546,1.611666940315276,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,EX_TSMC,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_EX_SEMICONDUCTOR,60d,23,11.0,0.2921412301419934,0.23938891367227422,0.782608695652174,0.2057503604354786,0.13930193975235228,0.3662114750577473,-0.129724306129001,-0.316091979749646,0.06677779583513675,0.16125675030512535,0.42302570997886146,0.06861648003295354,0.15765292927740446,0.4266295310065823,0.0803273984228847,0.13469952923313938,0.4495829310508474,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,EX_SEMICONDUCTOR,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_EX_SEMICONDUCTOR,120d,23,11.0,0.6342523701829413,0.5669131551425779,0.8695652173913043,0.42711604953260485,0.38957723432989044,0.8111604171052373,-0.14088768527440826,-0.42911875780414366,0.11523991912490218,0.40838212869813306,0.8601226116677496,0.12106304322092425,0.39696880546992985,0.8715359348959528,0.13858492256573174,0.36262592195410714,0.9058788184117755,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,EX_SEMICONDUCTOR,GOOD + IMPROVING + LOW/NORMAL
